,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
0,APH,9,38,pos_change,m1,3.5976496180522406,90%,0.19148936170212766,0,0.0,0,0.38636363636363635,0.6461038961038961,0.3409090909090909,3.438311688311688,0.8520749095386885
1,EVRG,9,41,pos_change,m1,2.651028914604939,90%,0.18,0,0.0,0,0.32142857142857145,0.1331168831168831,0.3409090909090909,1.7045454545454546,0.5819331763766938
2,HUM,4,46,pos_change,m1,4.303069441781645,90%,0.08,0,0.0,0,0.032467532467532464,0.8538961038961039,0.3409090909090909,3.0,0.37417995145927346
3,CMI,3,38,pos_change,m1,5.103917617618001,90%,0.07317073170731707,0,0.0,0,0.021103896103896104,0.9577922077922078,0.3409090909090909,3.277597402597402,0.4029408645487895
4,MDT,10,37,pos_change,m1,2.9803450568828596,90%,0.2127659574468085,MDT,3201.0,23.51%,0.48863636363636365,0.30844155844155846,0.7435064935064936,3.1347402597402594,0.8054986640223946
5,CMCSA,9,35,pos_change,m1,3.7463106200409886,90%,0.20454545454545456,CMCSA,5354.0,23.94%,0.4659090909090909,0.7077922077922078,0.8051948051948052,4.326298701298701,0.9633370165819687
6,^GSPC,5,47,pos_change,m1,1.7803023790348935,90%,0.09615384615384616,0,0.0,0,0.05357142857142857,0.003246753246753247,0.3409090909090909,0.5113636363636364,0.18939387011009506
7,WEC,8,40,pos_change,m1,2.5726434404700496,90%,0.16666666666666666,0,0.0,0,0.2597402597402597,0.11688311688311688,0.3409090909090909,1.4707792207792205,0.5145286880940099
8,BAC,13,31,pos_change,m1,2.8608173861711697,90%,0.29545454545454547,BAC,116936.0,26.16%,0.7922077922077922,0.24025974025974026,0.9935064935064936,4.090909090909091,1.1996976135556519
9,AZO,15,30,pos_change,m1,3.3953757965108724,90%,0.3333333333333333,0,0.0,0,0.8928571428571429,0.5097402597402597,0.3409090909090909,4.548701298701299,1.697687898255436
10,EXPD,11,33,pos_change,m1,3.4785059865096497,90%,0.25,0,0.0,0,0.6396103896103896,0.577922077922078,0.3409090909090909,3.9935064935064934,1.1595019955032166
11,WY,9,37,pos_change,m1,4.243976265102871,90%,0.1956521739130435,WY,6021.0,28.66%,0.40584415584415584,0.8344155844155844,0.8116883116883117,4.532467532467533,1.0323185509709687
12,HBAN,13,27,pos_change,m1,3.3013049393049605,90%,0.325,0,0.0,0,0.875,0.4707792207792208,0.3409090909090909,4.378246753246754,1.5895171929986849
13,HES,15,25,pos_change,m1,4.610143469078535,90%,0.375,HES,3381.0,40.84%,0.9448051948051948,0.9090909090909091,0.75,6.311688311688311,2.766086081447121
